id;region_name
1;Bali
2;Banten
3;Bengkulu
4;Demak
5;DIY
6;DKI
7;Garut
8;Gorontalo
9;Jakarta
10;Jambi
11;Jawa Barat
12;Jawa Tengah
13;Jawa Timur
14;Kalimantan Barat
15;Kalimantan Selatan
16;Kalimantan Tengah
17;Kalimantan Timur
18;Kalimantan Utara
19;Kepulauan Bangka Belitung
20;Kepulauan Riau
21;Lampung
22;Maluku
23;Maluku Tenggara
24;Maluku Utara
25;Nanggroe Aceh Darussalam
26;Nusa Tenggara Barat
27;Nusa Tenggara Timur
28;Papua
29;Papua Barat
30;Riau
31;Sulawesi
32;Sulawesi Selatan
33;Sulawesi Tengah
34;Sulawesi Tenggara
35;Sulawesi Utara
36;Sumatera Barat
37;Sumatera Selatan
38;Sumatera Utara
39;Aceh
40;Ambon
41;Bali
42;Bandung
43;Bangka
44;Banten
45;Bengkulu
46;Bogor
47;DI Aceh
48;DKI Jakarta
49;Jambi
50;Jawa Barat
51;Jawa Tengah
52;Jawa Timur
53;Kalimantan Barat
54;Kalimantan Selatan
55;Kalimantan Tengah
56;Kalimantan Timur
57;Kalimatan Selatan
58;Kepulauan Riau
59;Kupang
60;Lampung
61;Maluku
62;Maluku Utara
63;Nusa Tenggara Barat
64;Nusa Tenggara Timur
65;Papua
66;Papua Barat
67;Riau
68;Sulawesi Selatan
69;Sulawesi Tengah
70;Sulawesi Tenggara
71;Sulawesi Utara
72;Sumatera Barat
73;Sumatera selatan
74;Sumatera Utara
75;Sumatra Tengah
76;Ternate
77;Yogyakarta
78;DKI
