id;site_name;site_group_id;site_ga_id
1;Area Marketing Office Denpasar;1;1233
2;Area Retail Office Denpasar;1;1233
3;Area Retail Office Singaraja;1;1233
4;Area Sub Agen Office Denpasar;1;1233
5;Meeting Point Retail Negare;1;1222
6;Pos Marketing Singaraja;1;1222
7;Pos Sub Agen Singaraja;1;1222
8;Regional Office Denpasar;1;1222
9;Area Marketing Office Serang;3;1225
10;Area Marketing Office Tangerang;3;1223
11;Area Retail Office Rangkas Bitung;3;1223
12;Area Retail Office Serang Kota;3;1228
13;Area Retail Office Tangerang Kabupaten;3;1229
14;Area Retail Office Tangerang Kota;3;1231
15;Area Sub Agen Office Serang;3;1223
16;Area Sub Agen Office Tangerang;3;1226
17;Stock Point Retail Labuan;3;1223
18;Stock Point Retail Malingping;3;1227
19;Area Marketing Office Bengkulu;4;1232
20;Area Sales Office Bengkulu;4;1229
21;Area Marketing Office Yogyakarta;5;1230
22;Area Retail Office Yogyakarta;5;1227
23;Area Sub Agen Office Yogyakarta;5;1229
24;Stock Point Retail Wonosari;5;1225
25;Head Office Jakarta;6;1225
26;Area Marketing Office Jakarta Cempaka Putih;3;1223
27;Area Marketing Office Jakarta Cempaka Putih Consumer;3;1223
28;Area Marketing Office Jakarta Cempaka Putih Trade;3;1223
29;Area Marketing Office Jakarta Cengkareng;3;1228
30;Area Marketing Office Jakarta Simatupang;3;1223
31;Area Retail Office Jakarta Cempaka Putih;3;1226
32;Area Retail Office Jakarta Cempaka Putih 1;3;1228
33;Area Retail Office Jakarta Cempaka Putih 2;3;1226
34;Area Retail Office Jakarta Cengkareng;3;1226
35;Area Retail Office Jakarta Simatupang;3;1224
36;Area Sub Agen Office Jakarta Cempaka Putih;3;1230
37;Area Sub Agen Office Jakarta Cempaka Putih 1;3;1231
38;Area Sub Agen Office Jakarta Cengkareng;3;1229
39;Area Sub Agen Office Jakarta Simatupang;3;1226
40;Pos Sub Agen Jakarta Cengkareng;3;1223
41;Regional Office Jakarta;3;1229
42;Area Marketing Office Gorontalo;7;1228
43;Area Sales Office Gorontalo;7;1232
44;Area Marketing Office Jambi;10;1227
45;Area Retail Office Jambi;10;1228
46;Area Sales Office Muara Bungo;10;1226
47;Area Sub Agen Office Jambi;10;1232
48;Pos Marketing Muara Bungo;10;1232
49;Area Marketing Office Bandung City;2;1228
50;Area Marketing Office Bandung Up Country;2;1231
